city,country,latitude,longitude,temp,temp_min,temp_max,humidity,time_zone,weather,cloud_coverage,wind_speed
Tete,MZ,-16.16,33.59,78.8,78.8,78.8,78,7200,scattered clouds,40,2.46
Saint Anthony,US,45.02,-93.22,27.21,26.01,28.4,58,-21600,overcast clouds,90,8.05
Hobyo,SO,5.35,48.53,76.66,76.66,76.66,77,10800,clear sky,0,15.99
Gazli,UZ,40.13,63.45,24.55,24.55,24.55,92,18000,clear sky,0,14.07
Nioro,GM,13.35,-15.75,70.03,70.03,70.03,33,0,scattered clouds,36,8.23
Zhigansk,RU,66.77,123.37,-38.67,-38.67,-38.67,81,32400,few clouds,17,4.56
Slidell,US,30.28,-89.78,45.05,44.01,46.4,70,-21600,overcast clouds,90,5.82
Valença,BR,-13.37,-39.07,71.46,71.46,71.46,89,-10800,scattered clouds,47,1.88
Bagdarin,RU,54.43,113.6,-8.41,-8.41,-8.41,78,28800,clear sky,3,6.46
Kurchum,KZ,48.57,83.65,-4.4,-4.4,-4.4,86,21600,clear sky,0,1.21
Jacobabad,PK,28.28,68.44,51.12,51.12,51.12,40,18000,clear sky,0,3.67
Saint-Augustin,CA,51.23,-58.65,16.81,16.81,16.81,90,-14400,overcast clouds,100,24.27
Atyrau,KZ,47.12,51.88,28.4,28.4,28.4,68,18000,overcast clouds,100,15.66
Bubaque,GW,11.28,-15.83,80.06,80.06,80.06,57,0,clear sky,2,17.02
Rosetta,EG,31.4,30.42,60.8,60.8,60.8,82,7200,scattered clouds,40,5.82
Mount Darwin,ZW,-16.77,31.58,64.67,64.67,64.67,94,7200,overcast clouds,100,3.91
San Policarpo,PH,12.18,125.51,83.26,83.26,83.26,76,28800,scattered clouds,37,18.54
Sivaki,RU,52.63,126.75,-10.62,-10.62,-10.62,86,32400,overcast clouds,86,7.23
Byron Bay,AU,-28.65,153.62,78.35,77.0,80.01,83,39600,overcast clouds,90,11.41
Ganzhou,CN,28.82,115.43,41.86,41.86,41.86,62,28800,overcast clouds,94,4.63
Mehamn,NO,71.04,27.85,23.13,23.13,23.13,90,3600,light snow,99,8.12
Codrington,AU,-38.27,141.97,65.01,65.01,65.01,84,39600,overcast clouds,99,11.05
Yulara,AU,-25.24,130.99,89.6,89.6,89.6,33,34200,clear sky,8,16.11
Barstow,US,34.9,-117.02,51.42,48.2,57.0,23,-28800,clear sky,1,5.82
San Nicolas,PH,18.17,120.6,82.4,82.4,82.4,74,28800,scattered clouds,40,18.34
São Gabriel da Cachoeira,BR,-0.13,-67.09,75.99,75.99,75.99,84,-14400,broken clouds,81,0.74
Natitingou,BJ,10.3,1.38,75.2,75.2,75.2,29,3600,clear sky,0,2.24
Marrakesh,MA,31.63,-8.01,53.6,53.6,53.6,93,3600,broken clouds,75,6.93
Acajutla,SV,13.59,-89.83,78.12,78.12,78.12,78,-21600,scattered clouds,41,5.06
Contamana,PE,-7.33,-75.02,74.5,74.5,74.5,91,-18000,moderate rain,100,1.7
Olinda,BR,-8.01,-34.86,78.8,78.8,78.8,69,-10800,scattered clouds,40,6.93
Agüimes,ES,27.91,-15.45,65.5,64.0,66.2,77,0,few clouds,20,17.22
